Threads,Trials,MegaTrials/Sec
1,1,1.58
1,10,10.62
1,100,37.09
1,1000,42.6
1,10000,42.35
1,100000,41.65
1,500000,41.23
1,1000000,40.42
2,1,0.75
2,10,8.24
2,100,48.59
2,1000,80.01
2,10000,82.52
2,100000,82.65
2,500000,82.04
2,1000000,80.21
4,1,0.57
4,10,6.21
4,100,45.62
4,1000,112.65
4,10000,164.2
4,100000,131.76
4,500000,161.98
4,1000000,160.06
6,1,0.53
6,10,5.57
6,100,44.66
6,1000,156.79
6,10000,242.38
6,100000,237.51
6,500000,186.62
6,1000000,240.91
8,1,0.49
8,10,5
8,100,45.73
8,1000,202.8
8,10000,265.27
8,100000,330.13
8,500000,310.13
8,1000000,306.42
