Month,Temp (C),Precip (cm),Deer,Height (cm),Ticks (millions)
0,15.83,7.62,3,7.90,1.5
1,11.42,24.56,3,6.58,1.4
2,11.88,37.58,2,3.00,1.3
3,15.66,33.10,1,0.00,1.2
4,23.90,26.30,0,0.00,1.1
5,23.61,26.44,0,0.00,1.0
6,29.87,11.34,0,0.00,0.9
7,21.90,11.87,0,0.00,0.9
8,23.01,6.75,0,0.00,0.9
9,7.78,0.00,0,7.82,0.9
10,8.80,3.30,1,15.55,0.8
11,6.26,15.04,2,36.21,0.8
12,6.17,19.37,3,57.28,0.8
13,12.88,32.62,4,52.47,0.7
14,12.45,34.32,5,45.68,0.7
15,17.14,29.72,6,33.14,0.7
16,20.66,24.24,7,17.91,0.7
17,25.48,26.51,7,0.13,0.7
18,25.22,13.97,6,0.00,0.7
19,25.48,8.43,5,0.00,0.8
20,19.58,2.66,4,0.00,0.9
21,13.88,7.43,3,0.00,0.9
22,8.04,10.68,2,6.70,0.9
23,2.73,16.83,2,26.34,0.9
24,6.97,18.63,3,44.33,0.9
25,6.53,28.63,4,62.75,0.8
26,9.77,32.92,5,63.75,0.8
27,21.25,34.72,6,51.05,0.7
28,26.29,30.01,7,35.81,0.7
29,25.07,22.00,8,18.03,0.7
30,22.06,18.55,7,0.00,0.8
31,20.39,7.35,6,0.00,0.9
32,15.72,5.70,5,0.00,1.0
33,17.34,7.22,3,0.00,1.0
34,13.18,3.27,2,0.00,1.1
35,6.66,13.37,1,15.69,1.1
36,8.81,17.64,2,28.13,1.0
37,2.39,30.23,3,48.70,0.9
38,17.03,33.98,4,41.24,0.8
39,20.84,35.44,5,31.08,0.8
40,22.96,31.63,6,18.38,0.8
41,25.83,25.79,7,3.14,0.8
42,21.47,15.82,5,0.00,0.8
43,26.21,11.50,4,0.00,0.9
44,14.77,4.20,3,0.00,0.9
45,14.99,6.25,2,0.00,0.9
46,13.15,2.60,1,0.00,1.0
47,8.81,12.94,0,10.37,0.9
48,2.85,25.38,1,38.44,0.8
49,12.91,30.61,2,38.77,0.8
50,11.03,28.85,3,41.02,0.7
51,22.28,35.38,4,33.40,0.6
52,23.03,28.26,5,23.24,0.6
53,22.47,26.29,6,10.55,0.6
54,21.41,17.78,5,0.00,0.6
55,20.50,9.50,3,0.00,0.7
56,16.93,7.80,2,0.00,0.7
57,17.20,0.00,1,0.00,0.7
58,4.85,10.85,0,19.29,0.7
59,2.37,9.50,0,37.20,0.7
60,-0.61,21.31,1,50.18,0.6
61,8.52,28.99,2,65.07,0.6
62,9.87,30.16,3,71.33,0.5
63,23.25,33.92,4,63.71,0.5
64,24.61,30.15,5,53.55,0.4
65,23.30,17.97,6,40.85,0.5
66,27.80,17.06,7,25.61,0.5
67,27.67,6.08,8,7.83,0.5
68,19.31,6.73,7,0.00,0.6
69,14.55,3.72,6,0.00,0.7
70,4.30,10.77,5,6.62,0.7
71,5.15,13.25,4,17.77,0.7
